시장명,시장유형,소재지도로명주소,시장개설주기,소재지지번주소,점포수,사용가능상품권,공중화장실 보유여부,주차장 보유여부,개설년도,데이터기준일자
새당감시장,상설,부산광역시 부산진구 동평로 44번길 46,상설,부산 부산진구 당감3동 479-9,9,,Y,N,1981,2015-12-31
정이있는구포시장,상설+정기,부산광역시 북구 구포1동 599-15,5일,부산 북구 구포동 599,870,온누리상품권,Y,Y,2005,2015-12-31
구포축산물도매시장,상설,부산광역시 북구 구포2동 1186-24번지,상설,부산 북구 구포2동 1186-24,238,온누리상품권,Y,Y,2009,2015-12-31
새구포종합상가시장,상설,부산광역시 북구 덕천2동 355-4,상설,부산 북구 덕천2동 355-4,141,온누리상품권,Y,Y,1982,2015-12-31
덕천시장,상설,부산광역시 북구 덕천동 411-5,상설,부산 북구 덕천1동 411-5,99,온누리상품권,Y,Y,1980,2015-12-31
만덕시장,상설,부산광역시 북구 만덕1동 829,상설,부산 북구 만덕1동 829,48,온누리상품권,Y,N,1973,2015-12-31
만덕2동제일상가시장,상설,부산광역시 북구 만덕2동 845-2,상설,부산 북구 만덕2동 845-2,37,,Y,N,2012,2015-12-31
감전제일상가시장,상설,부산광역시 사상구 감전동 121-12,상설,부산 사상구 감전동 121-12,56,온누리상품권,Y,N,1977,2015-12-31
르네시떼,상설,부산광역시 사상구 광장로 7(괘법동),상설,부산 사상구 괘법동 529-1,2268,온누리상품권,Y,Y,2010,2015-12-31
부산산업용품상협동조합,상설,부산광역시 사상구 괘감로 37,상설,부산 사상구 괘법동 578,1491,온누리상품권,Y,Y,2011,2015-12-31
모라전통시장,상설,부산광역시 사상구 모라로 46번길 일원,상설,부산 사상구 모라동 1019-18,85,,N,N,2014,2015-12-31
우신종합상가,상설,부산광역시 사상구 백양대로 884,상설,부산 사상구 모라동 1362,129,,Y,Y,1992,2015-12-31
북부산시장,상설,부산광역시 사상구 사상로 285번길 8-3,상설,부산 사상구 덕포1동 422-16,97,,Y,N,,2015-12-31
복이있는덕포시장,상설,부산광역시 사상구 사상로 293번길 12,상설,부산 사상구 덕포1동 421-13,211,온누리상품권,Y,N,2007,2015-12-31
부산산업용재유통상가,상설,부산광역시 사상구 새벽로 133,상설,부산 사상구 감전동 152-2,892,,Y,Y,1993,2015-12-31
부산새벽시장,상설,부산광역시 사상구 새벽로 141,상설,부산 사상구 감전동 143-12,312,온누리상품권,Y,Y,2006,2015-12-31
주례현대무지개상가,상설,부산광역시 사상구 주례3동 530-5번지,상설,부산 사상구 주례동 530-5,54,,Y,N,1996,2015-12-31
주례럭키종합상가,상설,부산광역시 사상구 주례동 595,상설,부산 사상구 가야대로 284번길 2,52,,Y,Y,2014,2015-12-31
